NU_REQUISICAO	;ANO_REQUISICAO;DATA_COLETA;IDENT_AMOSTRA	;PERC_GORDURA	;PROTEINA;PERC_LACTOSE	;PERC_SOLIDOSTOTAL;CCS_1000;CBT;DATA_ANALISE;ROTA_LINHA	;UNIDADE_CLIENTE
0897				;2016				;04/02/2016	;618				;3,98				;3,23		;4,39				;12,62				;1263		;229;04/02/2016	;2				;
0897;2016;04/02/2016;620;3,72;3,30;4,47;12,49;1468;135;04/02/2016;2;
0897;2016;04/02/2016;758;3,89;3,26;4,19;12,39;687;38;04/02/2016;2;
0897;2016;04/02/2016;660;3,80;3,19;4,50;12,47;265;37;04/02/2016;2;
0897;2016;04/02/2016;765;3,94;3,35;4,47;12,77;375;53;04/02/2016;2;
0897;2016;04/02/2016;770;3,87;2,96;4,38;12,19;337;26;04/02/2016;2;
0897;2016;04/02/2016;763;4,22;3,25;4,53;13,00;336;15;04/02/2016;2;
0897;2016;04/02/2016;775;4,27;3,28;4,33;12,94;709;73;04/02/2016;2;
0897;2016;04/02/2016;786;3,84;3,09;4,08;12,02;987;220;04/02/2016;2;
0897;2016;04/02/2016;815;3,54;3,14;4,38;12,05;594;29;04/02/2016;2;
0897;2016;04/02/2016;760;4,08;3,37;4,42;12,87;604;34;04/02/2016;2;
0897;2016;04/02/2016;810;3,34;2,94;4,38;11,62;527;221;04/02/2016;2;
0897;2016;04/02/2016;607;3,50;3,03;4,24;11,77;2184;621;04/02/2016;2;
0897;2016;04/02/2016;746;4,07;3,15;3,97;12,23;895;2891;04/02/2016;2;
0897;2016;04/02/2016;820;4,13;3,24;4,32;12,71;444;297;04/02/2016;2;
0897;2016;04/02/2016;785;4,00;3,12;4,45;12,56;532;142;04/02/2016;2;
0897;2016;04/02/2016;795;3,97;3,21;4,34;12,53;591;40;04/02/2016;2;
0897;2016;04/02/2016;797;4,08;3,33;4,43;12,88;166;650;04/02/2016;2;
0897;2016;04/02/2016;825;4,00;3,38;4,15;12,56;650;198;04/02/2016;2;
0897;2016;04/02/2016;788;3,67;2,89;4,31;11,85;356;96;04/02/2016;2;
0897;2016;04/02/2016;787;4,23;3,10;4,53;12,86;1524;324;04/02/2016;2;
0897;2016;04/02/2016;856;3,33;3,06;4,11;11,49;1212;331;04/02/2016;2;
0897;2016;04/02/2016;803;3,54;3,03;4,20;11,75;691;98;04/02/2016;2;
0897;2016;04/02/2016;855;4,31;3,20;4,18;12,76;710;1829;04/02/2016;2;
0897;2016;04/02/2016;800;4,18;3,19;4,26;12,66;2149;1969;04/02/2016;2;
0897;2016;04/02/2016;857;3,90;3,25;4,54;12,71;593;122;04/02/2016;2;
0897;2016;04/02/2016;745;4,22;3,22;4,53;13,00;473;531;04/02/2016;2;
0897;2016;04/02/2016;735;3,53;3,09;4,27;11,89;432;253;04/02/2016;2;
0897;2016;04/02/2016;737;3,74;2,98;4,54;12,26;219;701;04/02/2016;2;
0897;2016;04/02/2016;740;4,43;3,04;4,47;13,02;315;45;04/02/2016;2;
0897;2016;04/02/2016;705;3,85;3,23;4,40;12,49;864;268;04/02/2016;2;
0897;2016;04/02/2016;715;3,42;3,15;4,32;11,87;675;223;04/02/2016;2;
0897;2016;04/02/2016;700;3,37;2,86;4,46;11,66;391;153;04/02/2016;2;
0897;2016;04/02/2016;695;4,05;3,34;4,64;13,07;769;3409;04/02/2016;2;
0897;2016;04/02/2016;690;3,55;3,22;4,42;12,20;905;258;04/02/2016;2;
0897;2016;04/02/2016;685;3,19;2,96;4,58;11,69;472;102;04/02/2016;2;
0897;2016;04/02/2016;680;3,51;3,13;4,63;12,29;1404;214;04/02/2016;2;
0897;2016;04/02/2016;753;4,01;3,03;4,51;12,56;730;109;04/02/2016;2;
0897;2016;04/02/2016;752;3,38;3,11;4,38;11,85;1511;302;04/02/2016;2;
0897;2016;04/02/2016;749;4,15;3,10;4,27;12,57;529;253;04/02/2016;2;
0897;2016;04/02/2016;635;3,77;3,19;4,35;12,30;376;435;04/02/2016;2;
0897;2016;04/02/2016;630;3,91;3,12;4,55;12,55;437;681;04/02/2016;2;
0897;2016;04/02/2016;748;3,96;3,20;4,34;12,55;806;162;04/02/2016;2;
0897;2016;04/02/2016;747;3,53;3,17;4,53;12,24;416;481;04/02/2016;2;
0897;2016;04/02/2016;651;4,27;3,01;4,26;12,57;703;94;04/02/2016;2;
0897;2016;04/02/2016;650;3,60;3,07;4,39;12,06;979;551;04/02/2016;2;
0897;2016;04/02/2016;645;3,30;3,09;4,24;11,60;741;604;04/02/2016;2;
0897;2016;04/02/2016;610;3,91;3,31;4,33;12,57;791;41;04/02/2016;2;
0897;2016;04/02/2016;605;4,50;2,97;4,60;13,07;461;180;04/02/2016;2;
0897;2016;04/02/2016;623;3,64;2,99;4,31;11,92;259;91;04/02/2016;2;
