NU_REQUISICAO;ANO_REQUISICAO;DATA_COLETA;IDENT_AMOSTRA;PERC_GORDURA;PROTEINA;PERC_LACTOSE;PERC_SOLIDOSTOTAL;CCS_1000;CBT;DATA_ANALISE;ROTA_LINHA;UNIDADE_CLIENTE
0899;2016;04/02/2016;97;3,61;3,14;4,26;12,01;959;447;04/02/2016;1;
0899;2016;04/02/2016;115;4,11;3,13;4,50;12,72;1048;98;04/02/2016;1;
0899;2016;04/02/2016;130;3,71;3,12;4,60;12,39;407;98;04/02/2016;1;
0899;2016;04/02/2016;310;3,58;3,19;4,30;12,08;928;776;04/02/2016;1;
0899;2016;04/02/2016;315;3,49;2,79;4,22;11,46;744;283;04/02/2016;1;
0899;2016;04/02/2016;105;3,64;3,23;4,41;12,28;395;24;04/02/2016;1;
0899;2016;04/02/2016;93;3,61;3,00;4,42;12,03;475;300;04/02/2016;1;
0899;2016;04/02/2016;118;3,95;3,21;3,98;12,16;1231;245;04/02/2016;1;
0899;2016;04/02/2016;296;4,05;3,14;4,30;12,51;325;1007;04/02/2016;1;
0899;2016;04/02/2016;290;3,95;3,18;4,33;12,46;395;310;04/02/2016;1;
0899;2016;04/02/2016;285;3,69;3,13;4,37;12,20;603;160;04/02/2016;1;
0899;2016;04/02/2016;300;3,97;3,19;4,42;12,59;534;48;04/02/2016;1;
0899;2016;04/02/2016;190;3,37;2,88;4,29;11,53;1223;113;04/02/2016;1;
0899;2016;04/02/2016;295;3,54;2,67;4,18;11,37;1214;255;04/02/2016;1;
0899;2016;04/02/2016;94;3,82;3,04;4,42;12,25;734;139;04/02/2016;1;
0899;2016;04/02/2016;91;3,76;3,35;4,55;12,70;126;47;04/02/2016;1;
0899;2016;04/02/2016;185;4,10;3,13;4,26;12,51;659;683;04/02/2016;1;
0899;2016;04/02/2016;235;4,11;3,28;4,52;12,91;222;399;04/02/2016;1;
0899;2016;04/02/2016;246;4,14;3,29;4,42;12,87;1276;1631;04/02/2016;1;
0899;2016;04/02/2016;230;3,82;3,15;4,27;12,23;598;45;04/02/2016;1;
0899;2016;04/02/2016;215;4,35;3,55;4,48;13,42;796;56;04/02/2016;1;
0899;2016;04/02/2016;205;3,48;3,38;4,36;12,22;1492;302;04/02/2016;1;
0899;2016;04/02/2016;225;3,52;3,14;4,34;11,99;875;154;04/02/2016;1;
